OCCUPATION,Current monthly rent,How long have you stayed at this PG? (in months),"Overall, how would you rate the physical amenities (room, furniture, Wi-Fi, food) at this PG?",How would you rate the security of the PG?,"When you last raised a complaint, how long did it take to resolve?",How many complaints have you raised in the last 3 months?,Is your security deposit fully refundable based on what you've seen/heard from others who left?,Do you feel your rent is fair compared to similar PGs nearby?,"Overall, how satisfied are you with this PG?",Do you intend to renew/continue your stay at this PG beyond your current term?,What's the single biggest reason for your answer above?
STUDENT,5000,24.8,3,3,same day,0,"Yes, straightforward",fair,5,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,11000,34.5,4,4,few days,2,"Yes, straightforward",fair,5,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,12000,1.0,4,5,same day,1,Disputes are common,fair,5,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,14000,1.0,4,3,no complaints raised,1,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,18000,36.0,4,5,same day,0,Not sure,fair,4,No,I am looking for a PG with better facilities.
WORKING PROFESSIONAL,5000,13.8,4,5,few days,1,"Yes, straightforward",fair,5,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,5000,20.1,5,5,no complaints raised,2,"Yes, straightforward",fair,5,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,5000,6.2,4,4,same day,2,"Yes, straightforward",fair,4,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,18000,23.6,5,4,no complaints raised,3,Not sure,fair,5,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,18000,30.5,3,4,no complaints raised,3,"Yes, straightforward",fair,2,No,The rent is high compared with other PGs nearby.
WORKING PROFESSIONAL,18000,20.8,5,4,same day,1,Disputes are common,underpriced,5,No,The room and common facilities need better maintenance.
WORKING PROFESSIONAL,8000,36.0,4,5,no complaints raised,2,"Yes, straightforward",underpriced,5,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,5000,11.6,4,3,same day,2,"Yes, straightforward",fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,5000,12.5,4,5,same day,2,Not sure,fair,4,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,5000,19.8,4,4,same day,2,"Yes, straightforward",fair,4,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,7500,23.2,5,5,over a week,0,"Yes, straightforward",fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,18000,19.8,3,5,never resolved,2,"Yes, straightforward",fair,4,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,18000,1.0,5,4,few days,1,"Yes, straightforward",fair,5,Yes,The security and facilities are satisfactory.
WORKING PROFESSIONAL,13000,21.0,4,4,same day,2,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,5000,10.9,5,5,few days,1,Not sure,fair,5,Yes,Good location and convenient for my daily travel.
STUDENT,5000,7.9,3,5,no complaints raised,0,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,13500,16.9,5,2,no complaints raised,2,"Yes, straightforward",fair,4,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,18000,2.3,3,5,same day,2,"Yes, straightforward",fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,15000,1.0,5,5,no complaints raised,0,"Yes, straightforward",fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,5000,1.0,4,4,same day,0,"Yes, straightforward",fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,18000,36.0,3,5,no complaints raised,1,Not sure,underpriced,4,No,Maintenance issues take too long to resolve.
WORKING PROFESSIONAL,15500,24.6,4,5,no complaints raised,0,Not sure,fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,5000,14.7,5,4,no complaints raised,3,"Yes, straightforward",fair,3,No,Maintenance issues take too long to resolve.
WORKING PROFESSIONAL,5000,6.6,3,5,few days,0,Not sure,fair,5,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,18000,1.0,5,4,same day,1,Not sure,fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,7500,5.7,4,4,same day,3,Not sure,fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,18000,26.9,5,4,no complaints raised,1,"Yes, straightforward",fair,5,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,16500,30.2,4,4,no complaints raised,0,"Yes, straightforward",fair,4,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,5000,25.8,4,5,no complaints raised,1,"Yes, straightforward",fair,5,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,10000,18.7,3,3,same day,1,"Yes, straightforward",fair,4,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,11000,35.6,5,5,same day,1,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,5000,11.6,5,4,no complaints raised,1,"Yes, straightforward",fair,5,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,5000,32.3,5,5,same day,0,"Yes, straightforward",fair,5,Yes,The security and facilities are satisfactory.
WORKING PROFESSIONAL,18000,10.8,4,5,no complaints raised,3,Not sure,fair,5,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,18000,3.5,5,3,same day,2,Disputes are common,fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,18000,1.6,5,4,no complaints raised,3,"Yes, straightforward",fair,4,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,18000,1.0,3,4,same day,0,"Yes, straightforward",fair,4,No,The room and common facilities need better maintenance.
WORKING PROFESSIONAL,5000,26.1,2,4,same day,2,"Yes, straightforward",fair,3,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,18000,5.5,5,4,no complaints raised,1,"Yes, straightforward",fair,5,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,5000,1.2,3,4,no complaints raised,4,"Yes, straightforward",fair,3,Maybe,"The location is convenient, but some services could improve."
STUDENT,5000,26.9,3,4,same day,0,Not sure,underpriced,4,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,5000,21.2,4,4,same day,1,"Yes, straightforward",fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,5000,30.5,3,4,no complaints raised,1,"Yes, straightforward",fair,4,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,5000,23.9,4,5,no complaints raised,1,"Yes, straightforward",fair,5,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,17000,5.3,3,4,no complaints raised,0,"Yes, straightforward",underpriced,3,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,13500,17.5,4,4,same day,0,"Yes, straightforward",fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,5000,18.2,4,4,same day,2,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,5500,2.9,4,3,same day,0,Disputes are common,fair,3,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,5500,1.0,4,5,same day,1,"Yes, straightforward",fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,5000,6.4,4,4,same day,2,Not sure,fair,5,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,5000,36.0,5,5,few days,0,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,5000,10.3,5,5,same day,0,"Yes, straightforward",fair,5,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,18000,34.5,4,5,same day,4,Disputes are common,fair,5,Maybe,"The PG is convenient, although some amenities need improvement."
STUDENT,12500,9.5,5,5,same day,1,Not sure,fair,5,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,18000,29.5,5,4,few days,1,"Yes, straightforward",fair,5,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,5000,29.7,3,4,never resolved,0,"Yes, straightforward",fair,4,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,18000,30.4,3,3,no complaints raised,1,"Yes, straightforward",underpriced,4,Yes,The security and facilities are satisfactory.
WORKING PROFESSIONAL,18000,22.1,4,5,same day,1,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,5000,36.0,5,4,same day,2,"Yes, straightforward",fair,5,No,I am looking for a PG with better facilities.
WORKING PROFESSIONAL,5000,22.0,4,5,same day,0,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,16500,36.0,3,5,same day,2,"Yes, straightforward",fair,5,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,18000,1.0,4,4,no complaints raised,2,"Yes, straightforward",overpriced,4,No,Maintenance issues take too long to resolve.
STUDENT,5000,21.5,2,4,never resolved,2,Not sure,fair,3,No,The complaint resolution process needs improvement.
WORKING PROFESSIONAL,6500,20.6,3,5,same day,2,"Yes, straightforward",fair,5,Yes,The security and facilities are satisfactory.
WORKING PROFESSIONAL,5000,2.7,4,4,same day,0,"Yes, straightforward",fair,4,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,11500,24.9,4,4,few days,0,Not sure,fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,18000,1.0,5,5,no complaints raised,1,Not sure,fair,5,No,There are too many maintenance and service issues.
WORKING PROFESSIONAL,5000,6.8,5,4,few days,1,"Yes, straightforward",fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,18000,1.0,3,3,few days,0,"Yes, straightforward",underpriced,4,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,5000,36.0,4,5,same day,0,"Yes, straightforward",fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,5000,13.0,4,5,no complaints raised,2,"Yes, straightforward",fair,4,Maybe,"The security is good, but the rent is slightly high."
STUDENT,18000,36.0,4,3,no complaints raised,0,"Yes, straightforward",fair,4,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,18000,28.2,4,3,no complaints raised,2,Disputes are common,fair,5,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,18000,23.0,3,5,same day,1,Not sure,underpriced,3,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,5000,7.8,3,4,few days,3,"Yes, straightforward",fair,3,No,There are too many maintenance and service issues.
WORKING PROFESSIONAL,5000,1.0,4,4,no complaints raised,0,"Yes, straightforward",fair,4,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,18000,24.1,2,4,same day,0,"Yes, straightforward",fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,11000,15.4,5,3,same day,1,"Yes, straightforward",fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,5000,1.0,3,4,same day,1,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,16000,1.0,5,5,few days,0,"Yes, straightforward",underpriced,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,5000,2.3,5,4,same day,0,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,18000,36.0,4,5,same day,1,Disputes are common,fair,5,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,18000,36.0,5,5,same day,1,"Yes, straightforward",fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,18000,19.4,5,4,no complaints raised,2,"Yes, straightforward",fair,5,Maybe,"The security is good, but the rent is slightly high."
STUDENT,18000,18.6,4,4,same day,0,Not sure,fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,11000,11.5,4,5,same day,0,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
STUDENT,18000,2.7,5,3,few days,1,"Yes, straightforward",fair,5,Yes,The security and facilities are satisfactory.
WORKING PROFESSIONAL,18000,36.0,4,4,same day,2,"Yes, straightforward",fair,5,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,13500,36.0,5,5,same day,2,Disputes are common,fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,7000,3.3,2,4,same day,0,Not sure,fair,3,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,5000,15.2,4,5,same day,2,"Yes, straightforward",fair,4,No,The complaint resolution process needs improvement.
WORKING PROFESSIONAL,9000,9.8,3,4,same day,3,"Yes, straightforward",fair,3,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,18000,10.2,4,5,few days,0,Disputes are common,fair,5,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,18000,33.8,5,3,same day,1,"Yes, straightforward",fair,5,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,16500,1.0,5,4,no complaints raised,0,"Yes, straightforward",underpriced,4,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,5000,23.3,3,3,same day,0,"Yes, straightforward",fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,5000,27.1,4,4,same day,2,"Yes, straightforward",fair,5,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,5000,14.3,4,4,few days,0,"Yes, straightforward",fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,6500,29.5,3,4,same day,3,Disputes are common,fair,4,No,The food quality is not satisfactory.
WORKING PROFESSIONAL,6500,18.6,5,3,never resolved,1,"Yes, straightforward",fair,5,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,18000,34.3,4,4,no complaints raised,1,"Yes, straightforward",fair,4,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,18000,1.0,4,4,no complaints raised,1,Not sure,fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,12000,11.3,5,3,no complaints raised,2,"Yes, straightforward",fair,3,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,7500,15.4,4,4,same day,1,Not sure,overpriced,4,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,7000,1.0,3,5,same day,3,"Yes, straightforward",fair,5,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,12000,1.0,4,4,same day,1,"Yes, straightforward",fair,4,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,5000,4.5,3,3,no complaints raised,0,"Yes, straightforward",fair,3,No,I found better accommodation options nearby.
WORKING PROFESSIONAL,12000,30.3,4,3,no complaints raised,0,Not sure,underpriced,4,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,16000,6.0,5,4,over a week,1,Disputes are common,fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,13000,4.4,3,4,few days,1,"Yes, straightforward",fair,4,No,The room and common facilities need better maintenance.
WORKING PROFESSIONAL,16000,28.4,3,4,few days,2,Not sure,fair,4,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,15500,1.0,4,5,same day,0,"Yes, straightforward",fair,5,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,5000,1.0,3,5,same day,2,"Yes, straightforward",overpriced,4,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,18000,11.1,4,4,same day,0,"Yes, straightforward",fair,5,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,5000,1.0,4,5,no complaints raised,0,"Yes, straightforward",fair,5,Yes,The security and facilities are satisfactory.
WORKING PROFESSIONAL,5000,1.0,2,5,same day,3,"Yes, straightforward",fair,3,No,The room and common facilities need better maintenance.
WORKING PROFESSIONAL,5000,24.8,5,5,same day,5,"Yes, straightforward",fair,5,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,15500,29.3,3,4,no complaints raised,2,"Yes, straightforward",fair,4,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,7500,28.0,4,5,same day,4,"Yes, straightforward",fair,4,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,5000,32.7,4,4,no complaints raised,2,"Yes, straightforward",fair,5,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,16500,34.6,4,4,no complaints raised,0,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,5000,1.0,5,4,same day,1,"Yes, straightforward",fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,12000,23.0,4,4,over a week,1,"Yes, straightforward",fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,13500,8.6,5,4,no complaints raised,2,"Yes, straightforward",fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,18000,5.4,4,3,same day,2,Not sure,fair,4,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,18000,24.6,5,3,same day,0,"Yes, straightforward",fair,5,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,5000,1.0,4,4,over a week,0,"Yes, straightforward",fair,4,Maybe,I may continue if the rent and facilities remain reasonable.
STUDENT,9500,1.0,4,4,few days,2,"Yes, straightforward",fair,4,No,The complaint resolution process needs improvement.
WORKING PROFESSIONAL,7000,25.7,5,5,same day,1,"Yes, straightforward",fair,5,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,15500,23.6,4,4,few days,0,"Yes, straightforward",fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,13000,18.4,5,4,no complaints raised,0,"Yes, straightforward",fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,6000,3.5,5,5,same day,0,"Yes, straightforward",fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,5000,27.3,3,4,no complaints raised,0,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,5000,26.4,4,3,same day,3,"Yes, straightforward",fair,4,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,18000,17.7,4,4,same day,3,"Yes, straightforward",underpriced,5,No,I am looking for a PG with better facilities.
WORKING PROFESSIONAL,16000,1.0,4,5,same day,0,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,18000,10.2,5,3,no complaints raised,1,"Yes, straightforward",fair,4,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,6500,28.7,5,4,no complaints raised,1,"Yes, straightforward",fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,5000,35.9,3,5,no complaints raised,0,"Yes, straightforward",fair,5,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,5000,11.6,5,5,same day,3,"Yes, straightforward",fair,5,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,15000,12.7,4,5,no complaints raised,1,Not sure,fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,5000,14.0,4,4,same day,0,"Yes, straightforward",fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,18000,20.4,4,5,never resolved,1,"Yes, straightforward",fair,5,Yes,The security and facilities are satisfactory.
WORKING PROFESSIONAL,5000,7.9,5,3,same day,0,"Yes, straightforward",fair,4,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,13500,1.0,4,3,same day,1,"Yes, straightforward",fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,18000,33.9,4,5,no complaints raised,1,"Yes, straightforward",fair,5,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,18000,36.0,4,4,no complaints raised,1,Not sure,fair,5,Yes,The rent is reasonable and the facilities are good.
STUDENT,12500,7.4,3,4,same day,4,"Yes, straightforward",fair,4,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,5000,1.0,3,4,same day,2,"Yes, straightforward",fair,3,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,5000,14.4,3,4,over a week,2,"Yes, straightforward",overpriced,4,No,There are too many maintenance and service issues.
WORKING PROFESSIONAL,18000,13.7,4,4,same day,1,"Yes, straightforward",fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,18000,31.0,5,3,same day,3,"Yes, straightforward",fair,5,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,5000,17.2,4,4,no complaints raised,3,"Yes, straightforward",fair,5,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,5000,4.8,5,3,same day,1,"Yes, straightforward",fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,5000,1.0,5,4,same day,0,Not sure,fair,5,Yes,The security and facilities are satisfactory.
WORKING PROFESSIONAL,5000,29.1,4,5,same day,1,Disputes are common,fair,5,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,9000,25.2,4,4,few days,2,"Yes, straightforward",fair,4,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,18000,32.0,4,5,same day,0,"Yes, straightforward",fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,18000,2.2,2,4,no complaints raised,2,"Yes, straightforward",fair,3,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,14000,36.0,3,4,same day,1,"Yes, straightforward",fair,4,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,5000,1.0,4,3,no complaints raised,1,"Yes, straightforward",fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,5000,26.8,4,4,no complaints raised,0,"Yes, straightforward",fair,4,No,Maintenance issues take too long to resolve.
STUDENT,18000,1.0,4,4,same day,1,"Yes, straightforward",fair,5,Yes,The security and facilities are satisfactory.
WORKING PROFESSIONAL,13000,4.8,4,5,same day,0,"Yes, straightforward",overpriced,5,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,5000,36.0,3,4,no complaints raised,1,"Yes, straightforward",fair,4,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,5000,28.6,4,5,few days,1,Disputes are common,fair,5,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,5000,8.4,4,3,same day,4,Not sure,fair,3,Maybe,"The PG is convenient, although some amenities need improvement."
STUDENT,5000,8.8,5,5,no complaints raised,1,"Yes, straightforward",overpriced,5,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,17500,17.9,5,3,few days,2,"Yes, straightforward",fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,9000,24.0,4,5,same day,1,"Yes, straightforward",fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,9500,34.8,5,5,over a week,2,Not sure,fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,18000,9.7,3,3,no complaints raised,0,"Yes, straightforward",fair,4,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,5000,1.0,3,5,same day,1,"Yes, straightforward",fair,4,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,18000,18.7,4,5,same day,3,"Yes, straightforward",fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,5000,9.7,4,5,same day,1,"Yes, straightforward",fair,5,Maybe,I may continue if the rent and facilities remain reasonable.
STUDENT,11500,1.0,4,4,same day,1,"Yes, straightforward",fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,6500,20.8,5,4,no complaints raised,1,Not sure,fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,12000,13.3,4,5,same day,0,"Yes, straightforward",fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,16000,20.9,4,5,same day,1,"Yes, straightforward",fair,5,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,15500,3.3,3,4,over a week,0,"Yes, straightforward",fair,4,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,5000,23.6,3,4,same day,0,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,5000,1.0,4,5,few days,1,"Yes, straightforward",fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,18000,4.2,5,5,no complaints raised,2,Not sure,fair,5,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,5000,12.8,4,4,same day,1,"Yes, straightforward",fair,3,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,18000,36.0,4,4,no complaints raised,1,Disputes are common,fair,4,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,5000,27.9,5,4,same day,0,"Yes, straightforward",fair,5,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,6500,32.2,5,5,no complaints raised,1,Not sure,fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,8500,36.0,4,5,few days,3,"Yes, straightforward",underpriced,4,No,The food quality is not satisfactory.
WORKING PROFESSIONAL,16000,36.0,4,4,same day,2,"Yes, straightforward",underpriced,4,No,The food quality is not satisfactory.
WORKING PROFESSIONAL,5000,17.0,3,4,same day,1,Disputes are common,fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,12500,36.0,4,3,same day,2,"Yes, straightforward",fair,3,No,The amenities need improvement.
WORKING PROFESSIONAL,5000,31.3,4,4,few days,1,"Yes, straightforward",fair,5,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,14500,31.0,3,3,few days,2,Not sure,overpriced,3,No,The rent is high compared with other PGs nearby.
WORKING PROFESSIONAL,5000,36.0,4,4,same day,0,Not sure,fair,5,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,5000,10.2,5,5,same day,1,Not sure,fair,5,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,7000,9.1,5,3,same day,2,Not sure,fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,5000,21.1,4,4,same day,1,"Yes, straightforward",fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,5000,13.7,5,5,same day,1,"Yes, straightforward",fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,5000,21.1,3,4,same day,2,Not sure,fair,4,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,5000,36.0,5,4,same day,1,Disputes are common,fair,5,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,18000,9.4,3,4,no complaints raised,1,Not sure,fair,4,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,5000,11.9,5,5,same day,2,"Yes, straightforward",fair,5,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,8000,19.0,4,4,same day,1,"Yes, straightforward",fair,4,No,The rent is high compared with other PGs nearby.
WORKING PROFESSIONAL,18000,13.1,3,4,same day,1,"Yes, straightforward",fair,4,No,Maintenance issues take too long to resolve.
WORKING PROFESSIONAL,5000,1.0,4,5,same day,3,Not sure,fair,4,Maybe,"The security is good, but the rent is slightly high."
STUDENT,5000,7.9,3,5,same day,0,"Yes, straightforward",fair,4,Maybe,"The experience is generally okay, but I am comparing other options."
